,co,pm25,no2,is_holiday,hour_sin,hour_cos,dayofweek_sin,dayofweek_cos
2024-03-24 06:00:00+07:00,5.247024072160486,3.529297384289471,2.89591193827178,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334
2024-03-24 07:00:00+07:00,5.777652323222656,3.6027767550605247,3.4688560301359703,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334
2024-03-24 08:00:00+07:00,6.018593214496234,3.5610460826040513,3.2108436531709366,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334
2024-03-24 09:00:00+07:00,5.955837369464831,3.5380565643793527,3.054001181677967,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334
2024-03-24 10:00:00+07:00,6.154858094016418,3.681351187693145,3.754198920234579,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334
2024-03-24 11:00:00+07:00,5.733341276897746,3.3603753871419,4.08260930600368,0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334
2024-03-24 12:00:00+07:00,5.908082938168931,3.122364924487357,4.1666652238017265,0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334
2024-03-24 13:00:00+07:00,5.910796644040527,3.367295829986474,4.188138441508461,0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334
2024-03-24 14:00:00+07:00,6.20455776256869,3.681351187693145,4.138361447638875,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
2024-03-24 15:00:00+07:00,6.22455842927536,3.505557396986398,4.131961425793407,0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334
2024-03-24 16:00:00+07:00,6.501289670540389,3.758871825933971,4.063885354737392,0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
2024-03-24 17:00:00+07:00,6.566672429803241,4.032469158504013,4.089332020398556,0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334
2024-03-24 18:00:00+07:00,6.507277712385012,3.8501476017100584,4.180522258463153,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334
2024-03-24 19:00:00+07:00,6.025865973825314,3.2386784521643803,3.899950424193877,0,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334
2024-03-24 20:00:00+07:00,5.814130531825066,3.32862668882732,3.597312260588446,0,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
2024-03-24 21:00:00+07:00,5.60947179518496,3.148453360571655,3.933784497209659,0,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334
2024-03-24 22:00:00+07:00,5.991464547107982,3.292126286607793,4.579852378003801,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334
2024-03-24 23:00:00+07:00,5.8998973535824915,3.370738174177447,4.333361462692601,0,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334
2024-03-25 00:00:00+07:00,5.327876168789581,2.8903717578961645,4.178992036282385,0,0.0,1.0,0.0,1.0
2024-03-25 01:00:00+07:00,5.081404364984463,2.9549102790337356,4.048300623720694,0,0.25881904510252074,0.9659258262890683,0.0,1.0
2024-03-25 02:00:00+07:00,5.3706380281276624,2.9338568698359033,4.418840607796598,0,0.49999999999999994,0.8660254037844387,0.0,1.0
2024-03-25 03:00:00+07:00,5.765191102784844,3.157000421150113,4.653960350157523,0,0.7071067811865475,0.7071067811865476,0.0,1.0
2024-03-25 04:00:00+07:00,5.541263545158426,3.427514689979529,4.235554730773624,0,0.8660254037844386,0.5000000000000001,0.0,1.0
2024-03-25 05:00:00+07:00,5.501258210544727,3.4242626545931514,3.9531649487593215,0,0.9659258262890683,0.25881904510252074,0.0,1.0
2024-03-25 06:00:00+07:00,6.1779441140506,3.4965075614664802,4.492001487882454,0,1.0,6.123233995736766e-17,0.0,1.0
2024-03-25 07:00:00+07:00,6.551080335043404,3.258096538021482,4.1059436980654525,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-03-25 08:00:00+07:00,6.860663671448287,3.3105430133940246,4.044804116661965,0,0.8660254037844387,-0.4999999999999998,0.0,1.0
2024-03-25 09:00:00+07:00,6.295266001439646,3.3105430133940246,4.238444906195857,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
2024-03-25 10:00:00+07:00,5.968707559985366,3.258096538021482,4.180522258463153,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
2024-03-25 11:00:00+07:00,6.056784013228625,3.4657359027997265,4.000033882750859,0,0.258819045102521,-0.9659258262890682,0.0,1.0
2024-03-25 12:00:00+07:00,6.270988431858299,3.4781584227982836,4.039536325727106,0,1.2246467991473532e-16,-1.0,0.0,1.0
2024-03-25 13:00:00+07:00,6.439350371100098,3.4011973816621555,4.089332020398556,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2024-03-25 14:00:00+07:00,6.3578422665081,3.4404180948154366,3.9627161197436642,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2024-03-25 15:00:00+07:00,6.1070228877422545,3.1986731175506815,4.089332020398556,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2024-03-25 16:00:00+07:00,6.267200548541362,3.3843902633457743,4.37449836825309,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2024-03-25 17:00:00+07:00,6.440946540632921,3.517497837358316,3.858622228701031,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2024-03-25 18:00:00+07:00,6.0473721790462776,3.3978584803966405,3.3250360206965914,0,-1.0,-1.8369701987210297e-16,0.0,1.0
2024-03-25 19:00:00+07:00,5.937536205082426,3.3945083935113587,3.6788291182604347,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
2024-03-25 20:00:00+07:00,5.840641657373398,3.299533727885655,4.021773869387265,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
2024-03-25 21:00:00+07:00,5.44673737166631,3.169685580677429,3.580737295494233,0,-0.7071067811865477,0.7071067811865474,0.0,1.0
2024-03-25 22:00:00+07:00,5.278114659230518,3.2268439945173775,3.744787086052232,0,-0.5000000000000004,0.8660254037844384,0.0,1.0
2024-03-25 23:00:00+07:00,5.017279836814924,3.126760535960395,4.028916756899646,0,-0.25881904510252157,0.9659258262890681,0.0,1.0
2024-03-26 00:00:00+07:00,5.241747015059643,3.265759410767051,4.222444564849416,0,0.0,1.0,0.7818314824680298,0.6234898018587336
2024-03-26 01:00:00+07:00,5.0689042022202315,3.2108436531709366,4.053522567701846,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
2024-03-26 02:00:00+07:00,5.093750200806762,3.3141860046725258,4.089332020398556,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2024-03-26 03:00:00+07:00,5.209486152841421,3.4436180975461075,4.02535169073515,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336
2024-03-26 04:00:00+07:00,5.159055299214529,3.572345637857985,4.005513348515485,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2024-03-26 05:00:00+07:00,5.472270673671475,3.5751506887855933,4.115779842942166,0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2024-03-26 06:00:00+07:00,5.934894195619588,3.5234150143864045,4.110873864173311,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2024-03-26 07:00:00+07:00,6.39024066706535,3.4242626545931514,4.1728476237100445,0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2024-03-26 08:00:00+07:00,6.133398042996649,3.2386784521643803,4.382026634673881,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2024-03-26 09:00:00+07:00,5.820082930352362,3.0633909220278057,3.983413001514819,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
2024-03-26 10:00:00+07:00,5.631211781821365,2.8154087194227095,3.7954891891721947,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2024-03-26 11:00:00+07:00,5.420534999272286,2.533696813957432,3.9454577815143836,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
2024-03-26 12:00:00+07:00,5.552959584921617,2.667228206581955,3.979681653901961,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2024-03-26 13:00:00+07:00,5.327876168789581,2.8791984572980396,3.828641396489095,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
2024-03-26 14:00:00+07:00,5.267858159063328,2.7536607123542622,3.8088822465086327,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2024-03-26 15:00:00+07:00,5.327876168789581,2.740840023925201,3.86702563949741,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
2024-03-26 16:00:00+07:00,5.736572297479192,2.9601050959108397,4.091005660956586,0,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
2024-03-26 17:00:00+07:00,5.940171252720432,3.295836866004329,3.9473901492654373,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2024-03-26 18:00:00+07:00,5.673323267171493,3.2228678461377385,4.128745988939433,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
2024-03-26 19:00:00+07:00,5.60947179518496,3.2068032436339315,4.203198967134183,0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336
2024-03-26 20:00:00+07:00,5.739792912179234,3.40452517175483,4.241326752570746,0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2024-03-26 21:00:00+07:00,6.056784013228625,3.7495040759303713,4.361823927356363,0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
2024-03-26 22:00:00+07:00,5.937536205082426,3.747148362237912,4.312140507209715,0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
2024-03-26 23:00:00+07:00,5.68697535633982,3.8155121050473024,4.298645025734831,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336
2024-03-27 00:00:00+07:00,5.872117789475416,3.8133070324889884,4.672828834461906,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
2024-03-27 01:00:00+07:00,5.902633333401366,3.8753590210565547,4.634728988229636,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2024-03-27 02:00:00+07:00,5.655991810819852,3.893859034800475,4.364371699435161,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2024-03-27 03:00:00+07:00,5.749392985908253,4.092676505121403,4.360547602996757,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434
2024-03-27 04:00:00+07:00,5.7430031878094825,4.138361447638875,4.237000862623624,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2024-03-27 05:00:00+07:00,6.07993319509559,4.107589788972121,4.151039905898646,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
2024-03-27 06:00:00+07:00,6.1463292576688975,4.248495242049359,4.130354999745133,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2024-03-27 07:00:00+07:00,6.61472560020376,4.174387269895637,4.206184043977636,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
2024-03-27 08:00:00+07:00,6.856461984594587,4.046553898385752,4.180522258463153,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
